"DOCTNMBR","AGENCY","CRSHDATE","CRSHHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTDRVR","IMPAIRED","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","TRAINFLAG","65+DRVR","WNTRROAD","GOVTPROP","HITRUN","LGTRKFLAG","LOCTYPE"
7736773,"MILWAUKEE POLICE DEPARTMENT","01/18/2001","13","MILWAUKEE","40","MILWAUKEE","C","4057","N 76TH ST","W","W CAPITOL DR","0"," ","43.08985278","-88.0072","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","I"
7681768,"MILWAUKEE POLICE DEPARTMENT","02/12/2001","2","MILWAUKEE","40","MILWAUKEE","C","4057","W MICHIGAN AVE","","N 92ND ST","0"," ","43.03728056","-88.02731667","K","1","2","1","1","13","","","","","","","","","","","","","Y","Y","Y","","","","","Y","","","I"
7866235,"MILWAUKEE POLICE DEPARTMENT","03/11/2001","22","MILWAUKEE","40","MILWAUKEE","C","4057","N MARTIN LUTHER KING DR","","W CHAMBERS ST","0.03","N","43.07352222","-87.91404722","K","1","0","1","1","5","","","","","Y","","","","Y","","","","","Y","","","","","","","","","N"
7452142,"MILWAUKEE POLICE DEPARTMENT","03/16/2001","19","MILWAUKEE","40","MILWAUKEE","C","4057","W HIGHLAND BLVD","W","27","0.06","W","43.04445","-87.94876944","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","N"
6355206,"WEST ALLIS POLICE DEPARTMENT","03/29/2001","8","MILWAUKEE","40","WEST ALLIS","C","4060","W CLEVELAND AVE","","S 92 ST","0"," ","42.99563611","-88.02711944","K","1","0","1","1","5","","","","Y","Y","","","","","","","","","Y","","","","","","","","","I"
7486392,"MILWAUKEE POLICE DEPARTMENT","05/09/2001","18","MILWAUKEE","40","MILWAUKEE","C","4057","N 10TH ST","","W BURLEIGH ST","0.03","N","43.075425","-87.92371389","K","1","0","1","1","5","","","","","","","","","","","","","","Y","Y","Y","","","","","","","N"
7626103,"MILWAUKEE POLICE DEPARTMENT","06/11/2001","11","MILWAUKEE","40","MILWAUKEE","C","4057","S 13 ST","","W HARRISON","0.03","S","42.99687222","-87.92880278","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","Y","","","","","N"
6859089,"MILWAUKEE POLICE DEPARTMENT","11/22/2001","18","MILWAUKEE","40","MILWAUKEE","C","4057","W ORCHARD ST","","S 23 ST","0.02","E","43.01593611","-87.94223333","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","N"
7433580,"MILWAUKEE POLICE DEPARTMENT","11/23/2001","17","MILWAUKEE","40","MILWAUKEE","C","4057","S 13 ST","","W MONTANA","0.01","S","42.99343056","-87.92891111","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","","","","","","N"
7426004,"WEST ALLIS POLICE DEPARTMENT","11/24/2001","20","MILWAUKEE","40","WEST ALLIS","C","4060","S 92 ST","","W ORCHARD ST","0.05","N","43.01497222","-88.026975","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","Y","","","","","N"
7649187,"MILWAUKEE POLICE DEPARTMENT","01/03/2002","5","MILWAUKEE","40","MILWAUKEE","C","4057","N HOPKINS","","W RUBY","0.05","S","43.09821111","-87.95740278","K","1","0","2","1","2","","","","","","","","","","","","","","Y","","","","","","","","","N"
7795598,"MILWAUKEE POLICE DEPARTMENT","02/11/2002","18","MILWAUKEE","40","MILWAUKEE","C","4057","N 51ST BLVD","","W GLENDALE","0"," ","43.10092778","-87.97678333","K","1","1","1","1","5","","","","","","","","","Y","","","","Y","Y","","Y","","","","","","","I"
7654274,"MILWAUKEE POLICE DEPARTMENT","02/18/2002","13","MILWAUKEE","40","MILWAUKEE","C","4057","N MARTIN LUTHER KING DR","","W CLARKE ST","0"," ","43.06403611","-87.91416944","K","1","3","2","1","1","","","","","","","","","","","","","","Y","","","","","","","","","I"
7985121,"MILWAUKEE POLICE DEPARTMENT","03/29/2002","13","MILWAUKEE","40","MILWAUKEE","C","4057","W APPLETON AVE","N","W CAPITOL DR","0.01","N","43.0899","-88.00412222","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","Y","","","","","N"
7341137,"MILWAUKEE POLICE DEPARTMENT","04/14/2002","21","MILWAUKEE","40","MILWAUKEE","C","4057","S LAYTON BLVD","","W EVERGREEN LN","0"," ","43.02571389","-87.94787778","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","I"
7979461,"MILWAUKEE POLICE DEPARTMENT","04/14/2002","14","MILWAUKEE","40","MILWAUKEE","C","4057","W GARFIELD AVE","","N 24TH ST","0.01","W","43.05918611","-87.94289722","K","1","0","1","1","5","","","","","","","","","","","","","Y","Y","","Y","","","","","","","N"
7998493,"MILWAUKEE POLICE DEPARTMENT","05/13/2002","20","MILWAUKEE","40","MILWAUKEE","C","4057","041 W APPLETON AVE","N","W CARMEN AVE","0"," ","43.12221111","-88.038725","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","I"
8072292,"MILWAUKEE POLICE DEPARTMENT","07/21/2002","15","MILWAUKEE","40","MILWAUKEE","C","4057","W EDGERTON AVE","","S 18TH ST","0.05","E","42.95215556","-87.93509444","K","1","0","1","3","5","","","","","","","","","","","","","","Y","","","","","","","","","N"
7666286,"MILWAUKEE POLICE DEPARTMENT","09/03/2002","7","MILWAUKEE","40","MILWAUKEE","C","4057","190 W CAPITOL DRIVE","W","N 70TH ST","0.01","W","43.08989167","-87.999725","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","","","","","","N"
7647604,"WEST ALLIS POLICE DEPARTMENT","09/04/2002","15","MILWAUKEE","40","WEST ALLIS","C","4060","S 84TH ST","","W CLEVELAND AVE","0.03","S","42.99522778","-88.01719167","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","Y","","","","","","","N"
8111849,"MILWAUKEE POLICE DEPARTMENT","10/03/2002","16","MILWAUKEE","40","MILWAUKEE","C","4057","S 11TH ST","","W ROGERS ST","0.01","S","43.00803611","-87.92591111","K","1","0","1","1","1","","","","","","","","","","","","","Y","Y","","Y","","","","","","","N"
7138947,"MILWAUKEE POLICE DEPARTMENT","12/14/2002","19","MILWAUKEE","40","MILWAUKEE","C","4057","S 6TH ST","N","W GRANT ST","0.06","N","43.00561944","-87.91893333","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","","","","","","N"
