"DOCTNMBR","AGENCY","CRSHDATE","CRSHHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTDRVR","IMPAIRED","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","TRAINFLAG","65+DRVR","WNTRROAD","GOVTPROP","HITRUN","LGTRKFLAG","LOCTYPE"
7476713,"MADISON POLICE DEPARTMENT","05/09/2001","10","DANE","13","MADISON","C","1373","PRIVATE PROPERTY","","HUXLEY ST","0"," ","43.1182866","-89.35986","K","1","0","1","1","5","","","","","Y","","","","","","","","","Y","","","","","","","","","PP"
8257178,"DODGE COUNTY SHERIFF","06/05/2001","6","DODGE","14","CLYMAN","T","1406","016","E","J","0.02","S","43.31375833","-88.734925","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","N"
6825714,"JUNEAU COUNTY SHERIFF","06/11/2001","15","JUNEAU","29","LEMONWEIR","T","2909","012","E","MORRISSEY RD","0.03","E","43.73166111","-90.004675","K","1","0","1","1","1","","","","","Y","","","","","","","","Y","Y","","","","","","","","","N"
6333418,"WATERTOWN POLICE DEPARTMENT","08/10/2001","11","JEFFERSON","28","WATERTOWN","C","2858","STIMPSON ST","","UTAH ST","0.02","W","43.183025","-88.72988056","K","1","0","1","1","5","","","","","","","","","","","","","Y","Y","","","","","","","","","N"
6945612,"GREEN COUNTY SHERIFF","08/17/2001","11","GREEN","23","JEFFERSON","T","2308","P","","RAHBERGER","0.2","S","42.52599167","-89.57277778","K","1","0","1","1","5","","","","","","","","Y","","","","","","Y","","","","","","","","","N"
7475590,"MADISON POLICE DEPARTMENT","09/07/2001","23","DANE","13","MADISON","C","1373","E WASHINGTON AVE","S","THORTON AVE","0.08","E","43.09072778","-89.36144444","K","1","0","3","3","5","","","","","","","","","Y","","","","","Y","","Y","","","","","","","N"
7654533,"JEFFERSON COUNTY SHERIFF","10/14/2001","19","JEFFERSON","28","AZTALAN","T","2801","094","E","ZIEBELL RD","0.6","W","43.08716111","-88.84523333","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","","","","","","N"
7430904,"ROCK COUNTY SHERIFF","10/19/2001","22","ROCK","53","ROCK","T","5317","W ROCKPORT RD","","11","0.3","E","42.67199167","-89.11041389","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","","","","","","N"
7466570,"MADISON POLICE DEPARTMENT","10/29/2001","13","DANE","13","MADISON","C","1373","CYPRESS WAY","","SEQUOIA TRL","0.02","S","43.04160833","-89.39711667","K","1","0","1","1","5","","","","","","","","","","","","","","Y","","","","","","","","","N"
6614049,"MADISON POLICE DEPARTMENT","11/26/2001","18","DANE","13","MADISON","C","1373","EAST WASHINGTON AVE","N","MILWAUKEE ST","0.04","W","43.09963611","-89.34967778","K","1","0","1","1","5","","","","","","","","","Y","","","","","Y","","","","","","","","","N"
7892219,"ROCK COUNTY SHERIFF","02/03/2002","2","ROCK","53","SPRING VALLEY","T","5318","W CHURCH RD","","S DICKEY RD","0.01","W","42.60763889","-89.31751389","K","1","0","1","1","5","","","","","","","","Y","Y","","","","","Y","","","","","","","","","N"
