year,total,teen,older65,teen_rate,older65_rate
2010,1611,153,179,0.095,0.1111
2011,1579,123,198,0.0779,0.1254
2012,1634,144,187,0.0881,0.1144
2013,1644,125,181,0.076,0.1101
2014,1525,100,188,0.0656,0.1233
2015,1638,108,209,0.0659,0.1276
2016,1628,125,187,0.0768,0.1149
2017,1533,110,233,0.0718,0.152
2018,1505,111,206,0.0738,0.1369
2019,1460,115,218,0.0788,0.1493
2020,1137,64,153,0.0563,0.1346
2021,1273,100,189,0.0786,0.1485
2022,1324,96,192,0.0725,0.145
2023,1299,87,199,0.067,0.1532
2024,1385,105,214,0.0758,0.1545
